
---------- Begin Simulation Statistics ----------
simSeconds                                   0.063845                       # Number of seconds simulated (Second)
simTicks                                  63845471235                       # Number of ticks simulated (Tick)
finalTick                                 63845471235                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    799.40                       # Real time elapsed on the host (Second)
hostTickRate                                 79866568                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     775224                       # Number of bytes of host memory used (Byte)
simInsts                                    430328306                       # Number of instructions simulated (Count)
simOps                                      430330093                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   538313                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     538315                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       172479170                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.700752                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.427037                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      261751544                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    8981                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     255776086                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                152642                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            15625345                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         11036014                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               4695                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          172249950                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.484912                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.836370                       # Number of insts issued each cycle (Count)
system.cpu0.branchPred.corrected_0::Return           29      0.00%      0.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.corrected_0::CallDirect         1641      0.18%      0.18% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.corrected_0::CallIndirect           44      0.00%      0.18% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.corrected_0::DirectCond       925474     99.71%     99.90% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.corrected_0::DirectUncond          777      0.08%     99.98% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.corrected_0::IndirectCond            0      0.00%     99.98% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.corrected_0::IndirectUncond          163      0.02%    100.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.corrected_0::total       928128                       # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.earlyResteers_0::NoBranch            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::Return            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::CallDirect            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::CallIndirect            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::DirectCond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::DirectUncond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::IndirectCond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::IndirectUncond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::total            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.committed_0::NoBranch            0      0.00%      0.00% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::Return       346134      1.82%      1.82% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::CallDirect       346027      1.82%      3.65% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::CallIndirect          113      0.00%      3.65% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::DirectCond     17932264     94.45%     98.09% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::DirectUncond       356108      1.88%     99.97% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::IndirectCond            0      0.00%     99.97% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::IndirectUncond         5654      0.03%    100.00% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::total     18986300                       # Number of branches finally committed  (Count)
system.cpu0.branchPred.mispredicted_0::NoBranch            0      0.00%      0.00% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::Return            7      0.00%      0.00% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::CallDirect         1192      0.18%      0.18% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::CallIndirect           41      0.01%      0.18% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::DirectCond       670665     99.72%     99.91% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::DirectUncond          468      0.07%     99.98% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::IndirectCond            0      0.00%     99.98% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::IndirectUncond          145      0.02%    100.00% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::total       672518                       # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.targetProvider_0::NoTarget      7870611     31.91%     31.91% # The component providing the target for taken branches (Count)
system.cpu0.branchPred.targetProvider_0::BTB     16311974     66.14%     98.05% # The component providing the target for taken branches (Count)
system.cpu0.branchPred.targetProvider_0::RAS       476341      1.93%     99.98% # The component providing the target for taken branches (Count)
system.cpu0.branchPred.targetProvider_0::Indirect         5651      0.02%    100.00% # The component providing the target for taken branches (Count)
system.cpu0.branchPred.targetProvider_0::total     24664577                       # The component providing the target for taken branches (Count)
system.cpu0.branchPred.targetWrong_0::NoBranch       106929     11.52%     11.52% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::Return       821145     88.47%     99.99% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::CallDirect           29      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::CallIndirect           25      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::DirectCond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::DirectUncond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::IndirectCond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::IndirectUncond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::total       928128                       # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.condPredicted         23321822                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condPredictedTaken     15478102                       # Number of conditional branches predicted as taken (Count)
system.cpu0.branchPred.condIncorrect           928128                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.predTakenBTBMiss          1886                       # Number of branches predicted taken but missed in BTB (Count)
system.cpu0.branchPred.NotTakenMispredicted       675619                       # Number branches predicted 'not taken' but turned out to be taken (Count)
system.cpu0.branchPred.TakenMispredicted       252509                       # Number branches predicted taken but are actually not taken (Count)
system.cpu0.branchPred.BTBLookups            24664577                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBUpdates              675383                       # Number of BTB updates (Count)
system.cpu0.branchPred.BTBHits               21538029                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.873237                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.BTBMispredicted           2843                       # Number BTB mispredictions. No target found or target wrong (Count)
system.cpu0.branchPred.indirectLookups           6047                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits              5651                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses             396                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted            0                       # Number of mispredicted indirect branches. (Count)
system.cpu0.branchPred.btb.lookups::NoBranch            0      0.00%      0.00% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::Return       476342      1.93%      1.93% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::CallDirect       404036      1.64%      3.57% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::CallIndirect          210      0.00%      3.57% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::DirectCond     23321822     94.56%     98.13% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::DirectUncond       456330      1.85%     99.98% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::IndirectCond            0      0.00%     99.98% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::IndirectUncond         5837      0.02%    100.00% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::total     24664577                       # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.misses::NoBranch            0      0.00%      0.00% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::Return       476166     15.23%     15.23% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::CallDirect         2555      0.08%     15.31% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::CallIndirect          187      0.01%     15.32% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::DirectCond      2631156     84.16%     99.47% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::DirectUncond        10647      0.34%     99.81% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::IndirectCond            0      0.00%     99.81% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::IndirectUncond         5837      0.19%    100.00% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::total      3126548                       # Number of BTB misses (Count)
system.cpu0.branchPred.btb.updates::NoBranch            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::Return            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::CallDirect         1641      0.24%      0.24% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::CallIndirect            0      0.00%      0.24% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::DirectCond       672965     99.64%     99.88% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::DirectUncond          777      0.12%    100.00% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::IndirectCond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::IndirectUncond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::total       675383                       # Number of BTB updates (Count)
system.cpu0.branchPred.btb.mispredict::NoBranch            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu0.branchPred.btb.mispredict::Return            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu0.branchPred.btb.mispredict::CallDirect         1641      0.24%      0.24% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu0.branchPred.btb.mispredict::CallIndirect            0      0.00%      0.24% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu0.branchPred.btb.mispredict::DirectCond       672965     99.64%     99.88% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu0.branchPred.btb.mispredict::DirectUncond          777      0.12%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu0.branchPred.btb.mispredict::IndirectCond            0      0.00%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
